Cases 0-4y,Cases 5-14y,Cases 15-34y,Cases 35-59y,Cases 60-79y,Cases 80+y,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Total Cases,Incidence 0-4y,Incidence 5-14y,Incidence 15-34y,Incidence 35-59y,Incidence 60-79y,Incidence 80+y,Total Incidence,Meldedatum
2,3.0,23,84,37,11,,,,,,,,160,0.050388774590351855,0.039953855959956645,0.12155618125865825,0.29302837358857126,0.20381925330651293,0.1852964254298119,0.19241168943824938,2020-03-02
2,2.0,54,238,152,77,,,,,,,,525,0.050388774590351855,0.02663590397330443,0.2853927733898932,0.8302470585009519,0.837311527097026,1.2970749780086832,0.6313508559692558,2020-03-09
14,6.0,152,726,861,472,,,,,,,,2231,0.352721422132463,0.07990771191991329,0.8033278065789587,2.5326023717297947,4.742929110727233,7.950901163897383,2.68294049460459,2020-03-16
33,16.0,259,1360,2218,1259,,,,,,,,5145,0.8314147807408058,0.21308723178643543,1.3688283019996732,4.744268905719726,12.218137941455288,21.208018146921198,6.187238388498707,2020-03-23
27,17.0,305,1348,2484,1920,,,,,,,,6101,0.6802484569697501,0.22640518377308766,1.6119406645169896,4.702407709492787,13.683433113875084,32.34264880229444,7.3368982328922465,2020-03-30
22,8.0,226,983,1762,1733,,,,,,,,4735,0.5542765204938704,0.10654361589321772,1.1944216071502938,3.4291296575900665,9.70620336016421,29.19260956998764,5.694183434313192,2020-04-06
9,12.0,192,635,1281,1255,,,,,,,,3384,0.22674948565658334,0.15981542383982658,1.0147298609418427,2.2151549670088424,7.056553067179542,21.140637628583086,4.069507231618974,2020-04-13
20,15.0,183,418,769,834,,,,,,,,2239,0.5038877459035186,0.19976927979978323,0.9671643987101938,1.4581650019050334,4.236135291694823,14.048838073496647,2.692561079076502,2020-04-20
19,8.0,107,286,513,428,,,,,,,,1361,0.4786933586083426,0.10654361589321772,0.5655004954207143,0.9976918434087069,2.825926403952463,7.209715462178136,1.6367019332841088,2020-04-27
10,7.0,91,239,383,350,,,,,,,,1080,0.2519438729517593,0.09322566390656552,0.48093967367556084,0.8337354915198635,2.109804703145796,5.895795354584924,1.2987789037081834,2020-05-04
7,18.0,74,180,231,249,,,,,,,,759,0.1763607110662315,0.2397231357597399,0.39109380057133525,0.6279179434040814,1.2724931760487699,4.194437266547561,0.9127529517726956,2020-05-11
